name,also_known_as,postcode,phone,website,service_types,date_last_check,specialisms_services,provider_name,local_authority,region,location_url,location_id,provider_id,id,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Grosvenor Place Surgery,,BA1 6BA,1225484748,http://www.grosvenoplacesurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Grosvenor Place Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-554184471,1-554184471,1-199760225,5d25142b50ecbce9a803e52dce4d3ae9772c0f9f,"26 Grosvenor Place, Bath
(51.394749, -2.34453)",36,95,490,6,1
Temple House Practice,,BS31 1AF,1179862406,http://www.templehousesurgery.nhs.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Temple House Practice,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-554746602,1-554746602,1-199759614,ff2998863935ef9644fefdd5706749a385b72b96,"St Clements Road, Keynsham, Bristol
(51.409797, -2.498186)",37,52,179,2,1
Dr Bevan & Partners,Fairfield Park Health Centre,BA1 6EA,1225331616,http://www.fairfieldparkhc.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr Bevan & Partners,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-556706160,1-556706160,1-199759684,4bc64bcd00e8f6de1859ab2b90bf87f514cb206a,"Tyning Lane, Camden Road, Bath
(51.394977, -2.352595)",36,93,484,6,1
West View Surgery,,BS31 1BX,8448802800,http://www.westviewsurgery.com,Doctors/GPs|Doctors/GPs,13/11/2013 - 00:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",West View Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-566514091,1-566514091,1-199759704,71cd0b0a8d0a55f24436cbe979ed90a9c6bafbd5,"9, Park Road, Keynsham, Bristol
(51.41193, -2.502105)",37,52,181,2,1
University Medical Centre,,BA2 7AY,1225386655,http://www.umcbath.co.uk,Doctors/GPs|Doctors/GPs,26/03/2014 - 00:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",University Medical Centre,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-566589141,1-566589141,1-199760175,cf9df2926b3a03ffb5080d3be31871e13d143089,"Quarry House, North Road, Claverton Down, Bath
(51.380438, -2.330671)",22,29,580,12,1
Number 18 Surgery,,BA2 3JZ,1225427402,http://www.number18surgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Number 18 Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-568185681,1-568185681,1-199759469,d9ba5aeeb24ce0fe47b16bbd37d3a1e147319aa1,"18 Upper Oldfield Park, Bath
(51.375921, -2.370853)",33,112,565,12,1
St James's Surgery,,BA1 2SR,1225422911,http://www.stjamessurgery.org.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",St James's Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-568392476,1-568392476,1-199759762,eeda22879977cf105a802d6f48e0f6cb73e494ec,"Northampton Buildings, Bath
(51.389457, -2.366852)",34,115,199,9,1
Oldfield Surgery,,BA2 3HT,1225421137,http://www.oldfieldsurgery.org.uk,Doctors/GPs|Doctors/GPs,10/01/2014 - 00:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Oldfield Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-569083319,1-569083319,1-199759380,182f0844653592c4cf23db0b16006fb41802ad73,"45 Upper Oldfield Park, Bath
(51.376361, -2.373931)",33,112,565,12,1
Harptree Surgery,,BS40 6HF,1761221406,http://www.harptree-cameleysurgery.nhs.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures","Drs Gollin, Coppock and Guy",Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-569279291,1-569279291,1-199759294,bfa579882150b146ae9df37b3d8805a7cd1f5f76,"Bristol Road, West Harptree, Bristol
(51.310321, -2.632185)",2,6,274,21,1
SS Philip & James Retirement Home,,BS31 2BX,1179863505,,Residential homes,25/02/2014 - 00:00,Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,SS Philip & James Retirement Home Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-569834264,1-569834264,1-527056127,bab00ac139142fbf5e80b358011ba615f1510c17,"9-10 Priory Road, Keynsham, Bristol
(51.41925, -2.497656)",24,49,172,1,1
The Pulteney Practice,,BA2 4BY,1225464187,,Doctors/GPs|Doctors/GPs,30/11/2013 - 00:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",The Pulteney Practice,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-569853716,1-569853716,1-199759654,85c220eae2efab41d3daf56275aba0475b3e40cd,"Pulteney Street Surgery, 35 Great Pulteney Street, Bath
(51.385338, -2.352549)",35,21,24,7,1
Bath Dental Excellence,,BA1 2LN,1225422695,http://www.portmanhealthcare.co.uk,Dentist,22/01/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Portman Healthcare Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-570135825,1-570135825,1-153032466,b254228068e4f7f7ecec043a41a80aa6cffd1282,"29 Brock Street, Bath
(51.386306, -2.365318)",35,22,23,7,1
S J Cooper & Partners,Newbridge Surgery,BA1 3PT,1225425807,http://www.newbridgesurgerybath.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 00:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",S J Cooper & Partners,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-570753050,1-570753050,1-199759674,6dc080d7cbd94851dfbf17aba308b528aee34beb,"129 Newbridge Hill, Bath
(51.387624, -2.393999)",29,16,319,8,1
Bath Spa Dentistry,,BA1 2BT,1225464346,,Dentist,18/10/2013 - 01:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Bath Spa Dentistry Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-575291974,1-575291974,1-523352245,fc2758d869391d5570c897a6b4e123563ac97568,"19a James Street, Bath
(51.382315, -2.367542)",34,55,195,9,1
Westfield Surgery,,BA3 3UJ,1761436333,,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Westfield Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-583341231,1-583341231,1-199760135,a8defb8f6a1d9e7dce89715e00ee097e544631eb,"Waterford Park, Radstock
(51.284952, -2.458979)",26,98,518,26,1
Pulteney Dental Practice,,BA2 4BQ,1225461572,http://www.pulteneydentalpractice.co.uk,Dentist,30/04/2013 - 01:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Bath Dental Practice Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-614818580,1-614818580,1-591951009,5c1b93f8afb214e5fe6770761f86d4ed2dbe4833,"14 Argyle Street, Bath
(51.383202, -2.357045)",35,20,11,7,1
Crossroads Care Wessex,,BA3 3PS,1761436673,,Homecare agencies,28/03/2014 - 00:00,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities|Personal care,North Somerset Crossroads Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-663378685,1-663378685,1-119236011,1dbeb38cb34fceb17e8f0d23efe406d72f46789f,"1 Riverside Cottages, Radstock
(51.292189, -2.44537)",12,79,413,24,1
RICE - The Research Institute for the Care of Older People,,BA1 3NG,1225476420,http://www.rice.org.uk,Doctors/GPs,23/04/2013 - 00:00,"Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Treatment of disease, disorder or injury|Diagnostic and screening procedures",RICE - The Research Institute for the Care of Older People,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-686182980,1-686182980,1-608378924,b626ba9791ec04edfc7d1e9d016f13efef4e69ef,"Building 8 Royal United Hospital Combe Park, Combe Park, Bath
(51.391662, -2.391202)",29,16,316,8,1
"RNID-Action on Hearing Loss, South West Community Care & Support Service",,BA2 1RN,1225342931,http://www.hearingloss.org.uk,Homecare agencies,17/06/2013 - 01:00,Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Personal care,The Royal National Institute for Deaf People,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-781755272,1-781755272,1-102642650,d66cd2a8e277827acba8e5f3d62568f3c170ea75,"Watery Lane, Bath
(51.380248, -2.400215)",28,91,468,11,1
Royal National Hospital for Rheumatic Diseases NHS Foundation Trust,,BA1 1RL,1225465941,http://www.rnhrd.nhs.uk,Hospital,23/01/2014 - 00:00,"Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities|Treatment of disease, disorder or injury|Assessment or medical treatment for persons detained under the 1983 Act|Diagnostic and screening procedures",Royal National Hospital for Rheumatic Diseases NHS Foundation Trust,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/RBB01,RBB01,RBB,e19ca84065af4371d9629ac165e1b39b931462f9,"Upper Borough Walls, Bath
(51.382343, -2.361479)",35,20,11,7,1
Paulton Memorial Hospital (Maternity),,BS39 7SB,1761408114,,Hospital,04/07/2014 - 00:00,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Maternity and midwifery services,Royal United Hospital Bath NHS Trust,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/RD129,RD129,RD1,7d955d4381fc918793eaa81e80ed143889ef60d4,"Salisbury Road, Paulton, Bristol
(51.298678, -2.493283)",13,67,373,23,1
Royal United Hospital Bath NHS Trust,,BA1 3NG,1225428331,http://www.ruh.nhs.uk,Hospital,06/02/2014 - 00:00,"Services for everyone|Maternity and midwifery services|Termination of pregnancies|Nursing care|Family planning services|Treatment of disease, disorder or injury|Assessment or medical treatment for persons detained under the 1983 Act|Surgical procedures|Diagnostic and screening procedures|Management of supply of blood and blood derived products",Royal United Hospital Bath NHS Trust,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/RD130,RD130,RD1,88af2575db27fdc07720e16a181657c5328cbb07,"Directors Offices, Royal United Hospital, Combe Park, Bath
(51.391662, -2.391202)",29,16,316,8,1
Hillview Lodge,,BA1 3NG,1249468000,http://www.awp.nhs.uk,Community services - Mental Health|Hospitals - Mental health/capacity,20/12/2013 - 00:00,"Mental health conditions|Treatment of disease, disorder or injury|Assessment or medical treatment for persons detained under the 1983 Act|Diagnostic and screening procedures",Avon and Wiltshire Mental Health Partnership NHS Trust,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/RVN2A,RVN2A,RVN,478020bb996ae55a30d4f7ba5ba2fffd42cd729d,"Directors Offices, Royal United Hospital, Combe Park, Bath
(51.391662, -2.391202)",29,16,316,8,1
St Martins Hospital,,BA2 5RP,1249468000,http://www.awp.nhs.uk,Hospitals - Mental health/capacity,02/02/2012 - 00:00,"Mental health conditions|Treatment of disease, disorder or injury|Assessment or medical treatment for persons detained under the 1983 Act|Diagnostic and screening procedures",Avon and Wiltshire Mental Health Partnership NHS Trust,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/RVN2B,RVN2B,RVN,0b5971093d7cdf9fbab0877dd3c6903116a8b12c,"Ash House, St Martin's Hospital, Clara Cross Lane, Midford Road, Bath
(51.358157, -2.372591)",18,4,263,17,1
