Distributing Body,Good Cause,Recipient Name,Project Name,Grant Date,Grant Amount,Programme Name,County,Postal Town,Local Authority,Electoral Ward,Region,UK Constituency,EU Constituency
UK Sport,Sport,British Bob Skeleton Association,World Class Performance,19/03/2001,52279,,,Bath,Bath and North East Somerset,,South West,Bath,South West
UK Sport,Sport,British Bob Skeleton Association,World Class Performance,19/03/2001,20000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Priston Millennium Committee,OUR MILLENNIUM BOOK,07/03/2001,5055,,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",St Andrew's Breakfast Club,The grant will be used to provide 24 before school places for children aged 3-11 years old in Bath.,27/02/2001,3447,Out of School Hours Childcare,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Whitelands Springfields & Tyning Community Association,The grant will be used to create 24 after school places for children aged 3-11 years old.,27/02/2001,8521,Out of School Hours Childcare,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Pensford Breakfast Club,"The grant will be used to provide 16 before school places for children aged 3-11 years old in Pensford, Bristol.",27/02/2001,4003,Out of School Hours Childcare,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",University of Bath Students Union,The grant will be used to create 24 holiday places for children aged 3-11 years old in Bath.,27/02/2001,7447,Out of School Hours Childcare,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Adult and Community Education Servicesof B & NES LEA,Adult and Community Education Servicesof B & NES LEA,06/02/2001,88521,CommunityAccesstoLifelongLearning,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,St Nicholas Junior School,The School Will Develop A Range Of Extra Curricular Sports Activities.,01/02/2001,2740,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Wessex & Bath Athletic Club,Gymnasium And Weight Lifting Equipment Will Be Purchased By This Athletics Club.,01/02/2001,3811,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Peasedown St. John Primary School,The Award Will Equip The School To Develop Extra Curricular Activities In A Range Of Sports.,01/02/2001,4248,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,East Harptree Primary School,This Primary School Will Use The Award To Set Up After School Gymnastics And Athletics Clubs.,01/02/2001,2268,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,West Hockey Association Umpiring Committee,This Group Will Use Their Award To Purchase Computer And Video Equipment For Training Purposes.,01/02/2001,4905,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Farmborough Memorial Hall,This village hall are making improvements to improve access and facilities for disabled people including installing a toilet.,01/02/2001,5000,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Tunley Recreation Centre,The award will be used to provide disabled access to the group's property.,01/02/2001,3950,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,39th St Alphege Guides - Bath,Camping equipment will be purchased with this award.,01/02/2001,2703,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bloomfield Community Orchard,This Award Will Be Used To Run 2 Days Of Willow Weaving To Create Sculptures For The Orchard.,01/02/2001,660,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Batheaston Festival Action Group,The Group Will Promote A Summer Festival With A Mix Of Arts And Heritage Activities.,01/02/2001,2700,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath West Indian Multi-Cultural Social Activity Centre,The Award Will Equip The Centre With Music Equipment. The Venue Will Be Used For Workshops To Encourage Young People To Develop New Skills.The Award Will Equip The Centre With Music Equipment.,01/02/2001,5000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Everyone Belongs Race Equality Project,EMBRACE Race Equality Arts Festival,25/01/2001,8101,RegionalArtsLotteryProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Farmborough Recreation Ground Committee,Single court floodlit MUGA,22/01/2001,15574,Community Capital,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,University of Bath,Simulated start,11/12/2000,288900,EnglishInstituteofSport,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,St Marys RC Primary School,"This primary school will use the award to set up after school Sports Clubs. Expenditiure on netball bibs,balls and posts, mini soccer goals,football, tennis and athletics awards, gymnatics equipment, asig nets and Top Sport Community Bag",05/12/2000,4957,AwardsforAll,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Natural Theatre Company,Rasputin,14/11/2000,94767,NationalTouringProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,South Wansdyke Learning And Living Our Way (SWALLOW),SWALLOW enables those with learning difficulties to live independently and this second grant from the Board will mean that the Project Manager will be able to develop their services over the next three years.,02/11/2000,93747,Community Involvement,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,English Karate Governing Body,Karate: Performance,25/10/2000,332183,WorldClassProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Pepperpot Bathford Pre-School,The grant will be used to create 24 wraparound places for children aged 3-4 years old in Bath.  Schools served not specified.,25/10/2000,3361,Out of School Hours Childcare,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,English Karate Governing Body,Karate: Performance,24/10/2000,1854108,WorldClassProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Red Room Pre-school Playgroup,This pre-school would use the award to create a play area.,13/10/2000,4213,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Zephyrian Woodwind Choir,The Award Will Fund A Poet To Work With School Children In The Glastonbury Area To Produce Writing About Apple And Pear Traditions In Somerset. Also A Composer Will Produce New Music With Singers And Musicians In Workshops Leading To A Final Concert In Gl,13/10/2000,4800,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Kelston Village Hall & Recreational Trust,Kelston Village Hall Restoration Project,12/10/2000,32200,,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
UK Sport,Sport,British Bobsleigh Association,World Class Performance,09/10/2000,205458,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,WAGS Rowing Council (Division 23),This group supports rowing clubs and events in the Wiltshire  Avon  Gloucestershire and Somerset areas. The project is a major initiative to increase coaching and training resources.,06/09/2000,3950,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Millennium Commission,Millennium,Bailbrook Residents Association,"This residents association will use the award for a village fete, a photographic catalogue of the area and to start up a community help scheme for older residents.",06/09/2000,2150,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,The Batheaston Society,BATHEASTON HISTORIC BUILDINGS AND BOUNDARIES PROJECT PHASE 1,06/09/2000,9990,,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Southstoke 2000 Group,"This group is co-ordinating Millennium celebrations for the village. The award will be used to publish a parish history, and for materials to compile and catalogue a permanent archive.",06/09/2000,750,,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Bo-Peep Playgroup,"The pre-school will use the award to purchase indoor equipment with storage, and outdoor equipment with fencing around the play area.",06/09/2000,2258,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Rainbow Pre-School Playgroup,This pre-school will use the award to purchase a variety of equipment and for staff training.,06/09/2000,1281,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Chew Valley District Guide Association,"This guide association is made up of a number of guide, brownie, ranger and rainbow groups.  It will use the award to buy camping equipment.",06/09/2000,4454,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Totally Maracas,This Group Provides Sound Effects For Community Plays And Workshops In A Variety Of Related Skills. The Award Will Be Used For A Special Dance Workshop With A Top African Dance Teacher.,06/09/2000,1090,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
UK Sport,Sport,British Bob Skeleton Association,World Class Performance,05/09/2000,100000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Norton Radstock Town Council,RADSTOCK HERITAGE TRAIL,18/08/2000,8400,,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,North East Somerset Arts,Refurbishment of building to create an arts centre,07/08/2000,80000,CapitalProgrammeOne,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,"Arts Development, B&Nes Council",Making Art Work,04/07/2000,30000,RegionalArtsLotteryProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Bath Ladies Boat Club & City Of Bath Rowing Club,This group provides opportunities for people to row. The award will be used to buy a safety boat and a junior craft.,29/06/2000,4996,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Norton Radstock Community Tennis Partnership,The group has been set up to provide a programme of local tennis development for players of all ages and abilities. It will use the award for coach education courses  equipment  publicity and coaching costs.,29/06/2000,4640,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Longvernal Primary School,The school will develop new opportunities for tennis and extend the activity into after school club time.,29/06/2000,1247,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,University Of Bath,Sydney Equipment,01/12/1999,82484,English Institute of Sport,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Harptree Local History Group,This group promotes interest in local history. It will use its award to fund a local history exhibition and a booklet which will outline the history of the village and the life stories and photographs of local residents.,29/06/2000,4850,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,The Bathwick Local History Soc.,This group researches and records all aspects of the history of Bathwick. The award will be used to map and record recent history.,29/06/2000,631,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Stanton Drew Parish/Village Hall Committee,They will use their award to update the drainage system in the hall.,29/06/2000,4289,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Widcombe Acorns Playgroup,This playgroup will use the award to purchase play/education resources for maths and music.,29/06/2000,2979,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Priston Village Hall Management Company,This group runs and maintains the village hall.  The award will be used for putting in facilities for disabled people.,29/06/2000,3618,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,North East Somerset Trust For Children,"This group provides assistance to children in need and their families. As part of their campaign to provide 2000 treats for local children in the year 2000, the group will use the award to provide a holiday for children and carers who would otherwise be u",29/06/2000,4940,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Corston Village Hall,This group manages and maintains the village hall. The award will be used to complete the renovation of the hall.,29/06/2000,4316,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Clutton Youth Club,This group runs a local youth club.  The award will enable the group to refit the kitchen and repaint the hall of the club.,29/06/2000,5000,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Carnival Arts,This Group Manages Local Festival And Carnival Activities.  They Are Hoping To Be Able To Increase Their Skills By Inviting Other Artists To Run Training Workshops.,29/06/2000,3875,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Ubley Out of School Organisation,"The grant will be used to provide 16 after-school places for children aged 5-11 years old in Ubley, Bath.  School served will be Ubley School.",16/06/2000,6397,Out of School Hours Childcare,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",First Steps Nursery (Bath) Ltd,"The grant will be used to extend the current provision by 8 breakfast places , 8 after-school places and 4 holiday places for children aged 3-7 years old in Bath.  Schools served will be Combe Down, Fosse Way, Oldfield Park, Moorlands, Parkside, St Saviou",16/06/2000,2400,Out of School Hours Childcare,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Bath and North East Somerset LEA,To extend opportunities for all students but focusing on able and gifted pupils to explore and develop their abilities in 7 primary schools and 2 secondary schools.,13/05/2000,92372,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Avon Wildlife Trust,Land at Burledge Hill (Poole Farm),27/04/2000,42300,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Avon Wildlife Truist,Land at Burledge Hill (Pennsylvania),27/04/2000,14700,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Bath and District Table Tennis Association,An award will allow this table tennis club to run courses to enable more of their members to become qualified coaches  and to register them.,13/04/2000,1143,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Spa Lawn Tennis Club,This tennis club plan to attract new younger members to the club  by buying new equipment and hiring a professional coach.  They will advertise in schools and community centres.,13/04/2000,1435,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Chandag Junior School,This school will use their award to set up a new basketball team for their pupils and the wider community.  The award will provide the necessary facilities and training.,13/04/2000,3102,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,The Cotham Caving Group,This caving group will use their award to purchase a variety of equipment  and to enable research and publication of information to develop the club.,13/04/2000,2670,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Millennium Commission,Millennium,Chew Stoke Parish Council,The award will enable the group to hold a special community day to celebrate the Millennium with a variety of events. The day will bring the whole village together in celebration and will enable residents to learn more about the history of the village thr,13/04/2000,2943,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Chew Valley Recreational Trail Association,An award will help this group in their work to create a circular walk round the valley to give access to people of all ages and ability.,13/04/2000,1610,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,66th/18th (Weston Village) Bath Scouts,This scout group will use the award to improve their tentage.,13/04/2000,1070,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Sunflower Pre-School,"Sporting and outdoor play equipment will be the focus of this award to Sunflower Pre-School, such as a scramble net, rope bridge and activity frame.",13/04/2000,1252,Awards for All,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Everyone Belongs Race Equality Project,"The group have received funding towards an outdoor race equality festival with a wide range of creative activities to promote understanding and awareness of race equality issues through music, dance other arts and food.",13/04/2000,4937,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,21st Ascension Guides,With this award the guide group will purchase two new tents.,13/04/2000,1026,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Totally Maracas,This Group Provides Creative Workshops For People Of All Abilities. The Award Will Be Used For A Week Of Workshops In African Drumming And Dancing.,13/04/2000,2401,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,National Osteoporosis Society,"A study to establish whether hip protector pants will prevent hip fractures among women aged 70+ . The grant, over three years, will pay for salaries and running costs.",19/05/1999,299613,Health and social research,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath Children's Art Festival,"Accessible And Exciting Art Activities For Children Are Provided By This Group Through The Medium Of An Annual Festival.  The Award Will Be Used To Provide Various Workshops, In Which Children Will Be Able To Express Their Ideas About Important Events In",13/04/2000,4955,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath Music Live (BML),This Group Of Experienced Practitioners Has Come Together To Promote A Weekend Of Wide Ranging Musical Activities As Part Of The Bbcs Music Live Event.  A Co-Ordinator Will Lead A Programme Of Participative Events Using A Variety Of Musicians And Venues.,13/04/2000,4880,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Bathampton Village Hall,"This community hall, although in generally good condition, suffers from poor insulation.  This grant will enable the organisation to replace the existing asbestos roof and fit double glazing.",07/04/2000,21000,Community Involvement,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Bath Stroke Support Group,The support group will use the grant to continue providing weekly therapy sessions for people recovering from a stroke and support for their carers.  The grant over three years will pay for the salary of a Group Organiser.,07/04/2000,28473,Community Involvement,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,English Karate Governing Body,Karate: Performance,31/03/2000,61343,WorldClassProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Midsomer Norton & District Primary School Games Ass.,This group provides opportunities for extra-curricular sports activities for a network of primary schools in the area. The award will fund a range of sports equipment which will be held centrally and made available to schools for events and coaching sessi,06/03/2000,4859,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Millennium Commission,Millennium,Walcot Nationday,The award will fund a special history project about their particular part of Bristol which has been inhabited since pre-Roman times.  It will also be used to support a performance led by local artists.,06/03/2000,3800,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Avon County Federation of Women's Institutes,"The County Federation of Women's Institutes will use the award to hold a rural environmental conservation, country crafts and educational day. This will include demonstrations in barn thatching, hedge laying, dry stone walling, and other country crafts.",06/03/2000,920,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Bath Abbey Parochial Church Council,"The award will pay for an exhibition at the Heritage Vaults. The display of the work of William Wilberforce will illustrate part of Bath's heritage and will mark the abolition of slavery as well as reforms in medicine, education, science and welfare of th",06/03/2000,4700,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,St Mark's Community Centre,"The community centre will benefit from improved facilities thanks to the award. These include disabled toilets, a baby changing room and partition doors to improve the insulation of the building.",06/03/2000,5000,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Rackvernal Old School Hall Trust,This group provides funding for local groups that promote education and the arts. The group have recently been donated an old school building. The group will use the award to carry out a consultation excercise to determine its best use.,06/03/2000,4750,Awards for All,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Suited and Booted Community Video,The Group Will Use Their Award To Provide Workshops To Five Groups Of Young People About Creating Digitally Filmed Videos.  The Young People Will Be Given The Opportunity To Choose Themes For The Films.,06/03/2000,4967,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath Cantata Group,This Group Promotes And Performs Choral And Orchestral Music. The Group Will Use Their Award To Stage A Performance Of Dvorak'S Stabat Mater.,06/03/2000,2682,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,"Ustinov Studio, Theatre Royal Bath",Bath Puppet Festival  (Snap the String),08/02/2000,7370,RegionalArtsLotteryProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Bristol City Ability Football Club,This is a new group who provide football training and competitions for disabled people. They have received an award to provide start up costs  coaching  travel costs and a development day.,03/02/2000,4170,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Bath Ladies Lacrosse Club,This is a sports club that formed one year ago  they will be receiving funding for equipment  venue hire and coaching.,03/02/2000,3662,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Millennium Commission,Millennium,Afromambo,This group was established to promote multi-national music and dance in the Bath area.  They are planning to use the award to fund a series of workshops and performances working with local schools and community groups.,03/02/2000,5000,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,North Road,Hear This,11/06/1997,2778,Arts4Everyone-Express,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,The Herschel House Trust,This group maintains the William Herschel Museum. They wish to run a series of events and exhibitions to celebrate the 250th anniversary of Caroline Herschal.  They will use their award to fund an exhibition and extra educational materials.,03/02/2000,2500,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Bath City Farm Limited,This group educates and raises awareness of environmental and animal welfare issues.  They will improve their facilities for disabled access and families and make the area more accessible.,03/02/2000,4689,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Hillside Steiner Kindergarten Project,The award will be used to extend the work of the project by setting up a playgroup to cater for 3 and 4 year olds. A variety of play and learning equipment will be funded by the award.,03/02/2000,1684,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Bath Junior Gateway Club,"Organisation providing social and recreational activities for disabled and non disabled young people.  The award will help pay for holday accommodation, and activities at a specalist centre.",03/02/2000,4567,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Monkton Combe Women's Institute,The award will be used to print a book of daily life in the village with contributions from members and other people in the community . An exhibition will also be held.,03/02/2000,1960,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Bath Area Mediation,This group provides mediation services (free to individuals) and training in core skills for volunteers. The award will be used for training and assessment fees.,03/02/2000,4500,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Opera Piccola,This Group Provides Operatic Performances In Local Venues.The Award Will Pay For A Local Composer To Work With The Group To Create A New Musical Piece.  This Will Then Be Performed By The Group.,03/02/2000,5000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Wansdyke Special School,Wansdyke Special School,01/02/2000,16280,OutofSchoolHoursLearning,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Rose Flint,Poetry residency at Devizes Museum,26/01/2000,3000,YearoftheArtist,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Bath & North East Somerset Council,Lady Ottoline Morrell Collection - Acquisition,18/01/2000,10800,,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Bath and North East Somerset Council,"The project consists of a trim trail, storage for equipment and an orienteering course to be located at Chew Valley School near Bath. The facility will be open to local primary schools and groups with special educational needs from the local authority are",30/12/1999,24000,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Oldfield School,Oldfield School,30/12/1999,395565,New Opportunities for PE and Sport,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Bath and North East Somerset Council,"The project is for a new multi-use games area. This will provide school pupils and local partners with a secure and accessible floodlit hard court surface. The facility will increase participation in a wide range of sports including soccer, hockey, basket",30/12/1999,116435,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Writhlington Academy Trust,Writhlington Academy Trust,30/12/1999,150000,New Opportunities for PE and Sport,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath And North East Somerset Council,Bath & North East Somerset Council,21/12/1999,5000,YearoftheArtist,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Royal United Hospital Bath NHST,Royal United Hospital Bath NHST,20/12/1999,645986,CancerEquipment,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Bath & North East Somerset Council,"Reaching Out, Encouraging In, Bath",08/12/1999,56000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Keynsham Community Association,"This Community Group Will Use Their Award To Fund The Production Of An Open Air Community Show.  There Will Be Workshops In Diverse Skills Such As Drumming, Stilt Walking, Puppetry And Set Design.  The Show Will Be Open To Everyone From Beginners To Exper",08/12/1999,5000,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Bath & North East Somerset District Council,"Royal Victoria Park, Bath",17/11/1999,1395000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Wells Basketball Club,The Group will buy equipment to set up basketball teams  along with an electronic scoreboard which the teams must have to compete in leagues.  They will also run an award and a development scheme (with coaches) aimed at junior members.,11/11/1999,4248,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Saltford Golf Club - Ladies Section,The award will be used for a project to encourage girls and women to take up golf through a taster day with a video and coaching to improve skills  and a tournament where new players could take part in a competition with county standard players to develop,11/11/1999,4054,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Shoscombe Village Cricket Club,The award will pay for new equipment and a coaching course for this cricket club.,11/11/1999,950,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Beechen Cliff School,The award will be used for courses to increase the number of qualified hockey coaches in the school and to make use of two club coaches for taster sessions.  It will also be used for new goal keeping equipment and costs of pitch hire and transportation.,11/11/1999,2429,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Chewton Keynsham Neighbourhood Association,This group has organised local people in researching both their family history and the history of their property.  The award will allow the group to collate all of their research into a book that will be distributed to all households and local libraries a,11/11/1999,813,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,The National Autistic Society,This group provides a support group for parents of children with autism.  The award is to cover start up costs for an out of school club where members can learn and increase independence skills.,11/11/1999,2885,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,The Bath Recital Artists Trust,This Organisation Will Use Their Award For A 'Millennium Concert'  With Professional Musicians To Celebrate Music In Bath From Past And Present. This Project Will Introduce New People To Music (Especially School Aged Children) And Celebrate The Towns Musi,11/11/1999,1500,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Leigh House Trust Limited,This Group Provides Community Development Projects.  The Award Is For A Project Where Elderly People From Rural Areas Are Asked To Contribute Memories Into An Art Form Leading To An Exhibition And Booklet.,11/11/1999,5000,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",City of Bath YMCA,"The grant will be used for the start up costs to create 30 holiday and 10 before school places for children aged 5 - 11 years.  Schools served will be Moorlands Infant School, where the project is based, and other schools in the area.",20/10/1999,5880,Out of School Hours Childcare,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Kookaburra Kids Club,"The grant will be used to create 24 after school and 24 holiday places for children aged 3 - 11. The project will operate in a rural area of Somerset. Schools served will be all schools in Keynsham, Castle County, Keynsham County and St Johns Primary, Cha",20/10/1999,14122,Out of School Hours Childcare,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
