incident_number,datetime,ward,location,incident_category,type_0,type_1,type_2,type_3,x_coordinate,y_coordinate,unitary_authority,origin_of_call,property_category,property_type,is_primary_fire,cause_of_fire,is_property_derelict,is_property_occupied_at_the_incident,property_normally_occupied,is_fire_confined_to_chimney,how_fire_was_discovered,main_cause_of_fire,ignition_source,ignition_source_powered,item_first_damaged,item_responsible_for_spread_of_fire,main_action_by_other_than_frs,main_action_by_frs,special_service_type,road_traffic_collision,false_alarm_reason,victims_involved,were_alarm_systems_present,no_of_fatalities,no_of_fire_fatalities,no_of_injuries,no_of_rescues,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
021373-16032014,03/16/2014 02:50:36 PM +0000,BATHAVON SOUTH,"(51.36115636491641, -2.310182333311798)",Special Service,Road Vehicle,Car,,,378***,162***,BANES,Ambulance,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Release of person/s",yes,,yes,,0,0,1,0,,,,,
000322-06042014,04/06/2014 05:39:09 PM +0000,KINGSMEAD,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Offices and call centres,Converted office,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Converted office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,36,498,6,1,96
002804-17052014,05/17/2014 07:02:55 PM +0000,WESTMORELAND,"(51.38796447889967, -2.367847713155505)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,374***,165***,BANES,Person (mobile),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > External factors > Power surge,no,,,,,,34,200,9,1,115
016503-15122013,12/15/2013 04:45:31 AM +0000,WIDCOMBE,"(51.3790597482288, -2.3390398454616075)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,376***,164***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,22,77,12,1,29
021442-18032014,03/18/2014 02:25:12 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,4 to 9 storeys,375***,165***,BANES,Police,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,36,498,6,1,96
005361-28062014,06/28/2014 04:13:01 AM +0000,MIDSOMER NORTON NORTH,"(51.288699783947536, -2.467433694010908)",Fire,Outdoor,Outdoor structures,Small refuse/rubbish/recycle container (excluding wheelie bin),,367***,154***,BANES,Person (land line),OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,26,510,26,1,97
006674-16072014,07/16/2014 12:11:59 PM +0000,KEYNSHAM NORTH,"(51.432381194180564, -2.5120542847619136)",Special Service,Road Vehicle,Other,,,364***,170***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Other,,,,,,,,,,,,,,,"Animal assistance incidents, Other, Livestock e.g. Horse, Cow, Sheep, Goat, Pig, Poultry, Fish, Exotic (Llama/Ostrich), Deer, etc.",no,,no,,,,,,,,,,
002936-20052014,05/20/2014 12:07:17 AM +0000,ABBEY,"(51.37901726536445, -2.353407734154723)",Fire,Outdoor,Outdoor structures,Small refuse/rubbish/recycle container (excluding wheelie bin),,375***,164***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Accidental,no,,,,,,,,,,,,,no,,no,,,,,,33,564,12,1,111
004093-10062014,06/10/2014 10:32:05 AM +0000,ABBEY,"(51.38805123395204, -2.339106340447153)",Special Service,Building,Non Residential,Retail,Single shop,376***,165***,BANES,Person (land line),NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,"Effecting entry/exit, For able bodied person not in distress",no,,yes,,0,0,0,1,22,71,12,1,29
021208-13032014,03/13/2014 12:31:43 PM +0000,MIDSOMER NORTON REDFIELD,"(51.288641633358864, -2.4817731342852936)",False Alarm,Building,Non Residential,Retail,Bank/Building Society,366***,154***,BANES,Person (land line),NonResidential,Building > Non Residential > Retail > Bank/Building Society,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,11,283,25,1,11
004355-14062014,06/14/2014 05:04:20 AM +0000,WESTFIELD,"(51.297802336263274, -2.4388404326437576)",False Alarm,Building,Non Residential,Retail,Large supermarket,369***,155***,BANES,Person (land line),NonResidential,Building > Non Residential > Retail > Large supermarket,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,12,406,24,1,76
007211-23072014,07/23/2014 06:50:38 AM +0000,WIDCOMBE,"(51.37901726536445, -2.353407734154723)",False Alarm,Building,Other Residential,Student Hall of Residence,,375***,164***,BANES,Person (land line),OtherResidential,Building > Other Residential > Student Hall of Residence,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,33,564,12,1,111
002431-11052014,05/11/2014 12:07:15 PM +0000,NEWBRIDGE,"(51.38791845815606, -2.382218344259114)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,373***,165***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,34,202,9,1,54
017086-24122013,12/24/2013 11:09:58 PM +0000,WALCOT,"(51.39700019568331, -2.3535463911730448)",False Alarm,Building,Dwelling,Unknown if licensed HMO,3 or more storeys,375***,166***,BANES,Person (mobile),Dwelling,Building > Dwelling > Unknown if licensed HMO > 3 or more storeys,,,,,,,,,,,,,,,,,Malicious False Alarm > Activation of fire call point/alarm,no,,,,,,36,500,6,1,93
020140-20022014,02/20/2014 09:15:25 AM +0000,KINGSMEAD,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Retail,Single shop,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,36,498,6,1,96
001504-25042014,04/25/2014 01:51:59 AM +0000,KINGSMEAD,"(51.38796447889967, -2.367847713155505)",False Alarm,Building,Dwelling,House - single occupancy,,374***,165***,BANES,Person (mobile),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,34,200,9,1,115
018908-28012014,01/28/2014 08:21:50 PM +0000,COMBE DOWN,"(51.37010895680229, -2.3246082759429627)",False Alarm,Building,Dwelling,House - single occupancy,,377***,163***,BANES,Police,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,,22,70,12,1,29
016239-10122013,12/10/2013 01:49:58 PM +0000,WALCOT,"(51.39700019568331, -2.3535463911730448)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,4 to 9 storeys,375***,166***,BANES,Person (land line),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,,36,500,6,1,93
000962-16042014,04/16/2014 03:25:29 PM +0000,COMBE DOWN,"(51.37006824855398, -2.3389733848583596)",False Alarm,Building,Dwelling,House - single occupancy,,376***,163***,BANES,AFA from call centre,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,33,558,12,1,110
003698-02062014,06/02/2014 09:06:12 PM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Dwelling,House - single occupancy,,365***,168***,BANES,Person (mobile),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,37,182,2,1,52
001549-26042014,04/26/2014 07:17:08 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Retail,Single shop,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,36,498,6,1,96
002075-04052014,05/04/2014 02:35:28 PM +0000,CHEW VALLEY NORTH,"(51.377951353931415, -2.6120221917344497)",Special Service,Road Vehicle,Car,,,357***,164***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Stand by - no action",yes,,yes,,0,0,1,0,6,79,21,1,31
018087-12012014,01/12/2014 12:16:41 PM +0000,LANSDOWN,"(51.39700019568331, -2.3535463911730448)",False Alarm,Building,Other Residential,Boarding School accommodation,,375***,166***,BANES,Person (mobile),OtherResidential,Building > Other Residential > Boarding School accommodation,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Steam,no,,,,,,36,500,6,1,93
020289-23022014,02/23/2014 06:25:57 PM +0000,WESTMORELAND,"(51.38791845815606, -2.382218344259114)",Special Service,Road Vehicle,Bus/coach,,,373***,165***,BANES,Police,RoadVehicle,Road Vehicle > Bus/coach,,,,,,,,,,,,,,,"RTC, Stand by - no action",yes,,no,,,,,,34,202,9,1,54
005278-26062014,06/26/2014 06:27:09 PM +0000,SALTFORD,"(51.40564460324016, -2.4542490651782036)",Special Service,Road Vehicle,Multiple Vehicles,,,368***,167***,BANES,Police,RoadVehicle,Road Vehicle > Multiple Vehicles,,,,,,,,,,,,,,,"RTC, Extrication of person/s",yes,,yes,,0,0,1,0,17,426,16,1,80
003401-28052014,05/28/2014 12:23:55 PM +0000,RADSTOCK,"(51.297802336263274, -2.4388404326437576)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,369***,155***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,12,406,24,1,76
006960-19072014,07/19/2014 04:02:35 PM +0000,WALCOT,"(51.39704270572472, -2.339172869838466)",Special Service,Building,Dwelling,House - single occupancy,,376***,166***,BANES,Person (running call),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Animal assistance incidents, Trapped Animal, Domestic e.g. Cat, Dog, Rodents, Horse, Bird, etc.",no,,no,,,,,,23,230,4,1,58
020946-08032014,03/08/2014 11:21:49 AM +0000,SOUTHDOWN,"(51.378879247282384, -2.39651117938257)",False Alarm,Building,Dwelling,Bungalow - single occupancy,,372***,164***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,28,469,11,1,89
008230-04082014,08/04/2014 05:15:51 PM +0000,BATHAVON NORTH,"(51.39715965945711, -2.296052105091305)",Special Service,Road Vehicle,Car,,,379***,166***,BANES,Ambulance,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Stand by - no action",yes,,no,,,,,,1,45,10,1,24
017034-24122013,12/24/2013 08:16:50 AM +0000,RADSTOCK,"(51.297802336263274, -2.4388404326437576)",Special Service,Building,Non Residential,Retail,Single shop,369***,155***,BANES,Person (mobile),NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,"Flooding, Pumping out",no,,no,,,,,,12,406,24,1,76
002493-12052014,05/12/2014 11:29:46 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,3 or more storeys,375***,165***,BANES,Person (mobile),Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Fumes/heat haze,no,,,,,,36,498,6,1,96
020139-20022014,02/20/2014 06:36:28 AM +0000,CLUTTON,"(51.32442218456275, -2.525201731957796)",False Alarm,Building,Non Residential,Industrial Manufacturing,Printing,363***,158***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Industrial Manufacturing > Printing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,5,97,20,1,34
016540-16122013,12/16/2013 04:22:34 AM +0000,TWERTON,"(51.378879247282384, -2.39651117938257)",Special Service,Building,Dwelling,House - single occupancy,,372***,164***,BANES,Ambulance,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Assist other agencies, Other assistance to police/ambulance, Bariatric person (over weight)",no,,yes,,0,0,1,0,28,469,11,1,89
017036-24122013,12/24/2013 09:03:39 AM +0000,NEWBRIDGE,"(51.39686208930832, -2.396666734023643)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,372***,166***,BANES,Person (land line),Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,20,543,5,1,108
001246-20042014,04/20/2014 01:12:57 PM +0000,WESTON,"(51.405901302806626, -2.382368343990453)",False Alarm,Building,Dwelling,House - single occupancy,,373***,167***,BANES,Person (land line),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Fire elsewhere (not at location),no,,,,,,21,233,7,1,1
005717-03072014,07/03/2014 04:17:57 PM +0000,KINGSMEAD,"(51.38796447889967, -2.367847713155505)",Special Service,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,3 or more storeys,374***,165***,BANES,Police,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,"Effecting entry/exit, For able bodied person not in distress",no,,no,,,,,,34,200,9,1,115
003570-31052014,05/31/2014 01:51:36 PM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,365***,168***,BANES,Person (land line),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,37,182,2,1,52
007376-24072014,07/24/2014 06:39:15 PM +0000,COMBE DOWN,"(51.36103427921812, -2.353269220489017)",False Alarm,Building,Dwelling,House - single occupancy,,375***,162***,BANES,Person (land line),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,19,118,18,1,38
016878-22122013,12/22/2013 06:17:08 AM +0000,WALCOT,"(51.38805123395204, -2.339106340447153)",False Alarm,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,Up to 2 storeys,376***,165***,BANES,Person (mobile),Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > Up to 2 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,22,71,12,1,29
003607-01062014,06/01/2014 08:19:51 AM +0000,CHEW VALLEY NORTH,"(51.36903437437859, -2.5975380603346125)",False Alarm,Building,Other Residential,Residential Home,Retirement/Elderly,358***,163***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Residential Home > Retirement/Elderly,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,6,79,21,1,31
020546-28022014,02/28/2014 11:54:23 PM +0000,KEYNSHAM NORTH,"(51.42345193748686, -2.4975722393895747)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,365***,169***,BANES,Person (land line),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,24,161,1,1,48
016657-18122013,12/18/2013 07:40:27 PM +0000,BATHWICK,"(51.38805123395204, -2.339106340447153)",False Alarm,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,3 or more storeys,376***,165***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Other,no,,,,,,22,71,12,1,29
007725-28072014,07/28/2014 09:14:52 PM +0000,RADSTOCK,"(51.297802336263274, -2.4388404326437576)",Fire,Road Vehicle,Car,,,369***,155***,BANES,Person (land line),RoadVehicle,Road Vehicle > Car,yes,Accidental,no,,,,Person running call,Accidental;  Faulty fuel supplies - Electricity,Vehicles only -> Electrical fault ,Electric,"Foam, rubber, plastic -> Foam - raw material only","Foam, rubber, plastic -> Plastic  raw material only",None,,,no,,no,,,,,,12,406,24,1,76
018744-25012014,01/25/2014 07:24:14 PM +0000,FARMBOROUGH,"(51.37849555121656, -2.497084409790883)",Special Service,Outdoor,Outdoor equipment and machinery,Garden equipment,,365***,164***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor equipment and machinery > Garden equipment,,,,,,,,,,,,,,,"Making Safe (not RTC), Removal/retrieval of other object",no,,no,,,,,,8,123,16,1,41
003182-24052014,05/24/2014 09:18:08 AM +0000,WESTFIELD,"(51.288699783947536, -2.467433694010908)",False Alarm,Building,Non Residential,Industrial Manufacturing,Factory,367***,154***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Industrial Manufacturing > Factory,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Accidentally/carelessly set off,no,,,,,,26,510,26,1,97
021527-19032014,03/19/2014 06:56:49 PM +0000,SALTFORD,"(51.4146359225077, -2.4543382224354557)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,368***,168***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,17,426,16,1,80
019151-02022014,02/02/2014 01:58:34 PM +0000,CHEW VALLEY NORTH,"(51.36896020857963, -2.6119022676792967)",Special Service,Outdoor,Other outdoors (including land),Animal harm outdoors,,357***,163***,BANES,Person (mobile),Outdoor,Outdoor > Other outdoors (including land) > Animal harm outdoors,,,,,,,,,,,,,,,"Animal assistance incidents, Rescue from below ground, Domestic e.g. Cat, Dog, Rodents, Horse, Bird, etc.",no,,no,,,,,,6,79,21,1,31
016347-12122013,12/12/2013 02:12:32 PM +0000,ABBEY,"(51.39700019568331, -2.3535463911730448)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,375***,166***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,36,500,6,1,93
017803-06012014,01/06/2014 10:09:46 AM +0000,TWERTON,"(51.38787067528191, -2.396588936586609)",Fire,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,372***,165***,BANES,Person (mobile),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,yes,Deliberate ? others property,no,yes,Yes - occupied,no,Persons,Deliberate;  - others property: Heat source and combustibles brought together deliberately,"Naked flame -> Lighted paper or card, or other naked flame ",Not applicable,Furniture/Furnishings - Other furniture,Furniture/Furnishings - Other furniture,Water from bucket/container,None -> No firefighting,,no,,no,no,,,,,29,315,8,1,16
019063-31012014,01/31/2014 10:00:31 PM +0000,BATHAVON NORTH,"(51.39712243762106, -2.3104257253397282)",False Alarm,Building,Non Residential,Sports pavilion/shower block/changing facility,,378***,166***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Sports pavilion/shower block/changing facility,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Other,no,,,,,,1,45,10,1,24
006977-19072014,07/19/2014 08:39:10 PM +0000,KINGSMEAD,"(51.38800873750183, -2.35347704473258)",Special Service,Building,Other Residential,Hotel/motel,,375***,165***,BANES,Person (land line),OtherResidential,Building > Other Residential > Hotel/motel,,,,,,,,,,,,,,,"Lift Release, For able bodied person not in distress",no,,yes,,0,0,0,1,36,498,6,1,96
020273-23022014,02/23/2014 11:11:42 AM +0000,ODD DOWN,"(51.36099006304717, -2.3676314465748853)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,374***,162***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,18,259,17,1,4
018278-16012014,01/16/2014 10:02:14 AM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Other Residential,Residential Home,Nursing/Care,373***,166***,BANES,Person (land line),OtherResidential,Building > Other Residential > Residential Home > Nursing/Care,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,20,546,5,1,107
020916-07032014,03/07/2014 06:56:34 PM +0000,KINGSMEAD,"(51.38796447889967, -2.367847713155505)",Fire,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,Up to 2 storeys,374***,165***,BANES,Person (land line),Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > Up to 2 storeys,yes,Accidental,no,yes,Yes - occupied,no,Persons,Accidental;  Fault in equipment or appliance ,Other domestic style appliance -> Washing machine ,Electric,"Foam, rubber, plastic -> Plastic ? raw material only","Foam, rubber, plastic -> Plastic ? raw material only",Fuel supply disconnected,,,no,,yes,yes,0,0,0,1,34,200,9,1,115
016717-19122013,12/19/2013 12:34:18 PM +0000,COMBE DOWN,"(51.37010895680229, -2.3246082759429627)",Special Service,Building,Dwelling,Bungalow - single occupancy,,377***,163***,BANES,Person (land line),Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,"No action (not false alarm), Service not required",no,,no,,,,,,22,70,12,1,29
004735-19062014,06/19/2014 06:46:33 PM +0000,MIDSOMER NORTON NORTH,"(51.288699783947536, -2.467433694010908)",False Alarm,Building,Non Residential,Offices and call centres,Purpose built office,367***,154***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,26,510,26,1,97
018561-22012014,01/22/2014 10:06:00 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Offices and call centres,Converted office,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Converted office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,36,498,6,1,96
018499-20012014,01/20/2014 10:51:50 PM +0000,PEASEDOWN,"(51.31583826544677, -2.424664099497597)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,370***,157***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Smoking,no,,,,,,15,382,22,1,71
019922-16022014,02/16/2014 04:05:11 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Entertainment and culture,Club/night club,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Entertainment and culture > Club/night club,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,36,498,6,1,96
016879-22122013,12/22/2013 07:13:09 AM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Non Residential,Hospitals and medical care,Hospital,373***,166***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,20,546,5,1,107
021637-21032014,03/21/2014 12:43:10 PM +0000,CLUTTON,"(51.32435692726749, -2.5395521805589767)",False Alarm,Road Vehicle,Car,,,362***,158***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,,,"Malicious False Alarm > By phone, Call NOT challenged",no,,,,,,5,100,20,1,35
005037-23062014,06/23/2014 04:38:01 PM +0000,LAMBRIDGE,"(51.39704270572472, -2.339172869838466)",Special Service,Building,Dwelling,House - single occupancy,,376***,166***,BANES,Person (land line),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Effecting entry/exit, For person in distress",no,,yes,,0,0,1,0,23,230,4,1,58
020614-02032014,03/02/2014 10:50:35 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Fire,Building,Non Residential,Sporting venues,Gym,375***,165***,BANES,Person (mobile),NonResidential,Building > Non Residential > Sporting venues > Gym,yes,Accidental,no,no,Yes - occupied,no,Automatic alarm system,Accidental;  Fault in equipment or appliance ,Other,Other,Not known,Other,None,,,no,,no,yes,,,,,36,498,6,1,96
001421-23042014,04/23/2014 03:13:32 PM +0000,WESTON,"(51.396909887464425, -2.3822933247234346)",Fire,Building,Non Residential,Retail,Hairdresser,373***,166***,BANES,Person (land line),NonResidential,Building > Non Residential > Retail > Hairdresser,yes,Accidental,no,yes,Yes - occupied,no,Person running call,Accidental;  Combustible articles too close to heat source (or fire),Not known,Not known,Not known,Structural/Fixtures/Fittings External ?> Roof,None,,,no,,no,don't know,,,,,20,546,5,1,107
018771-26012014,01/26/2014 04:24:25 AM +0000,KEYNSHAM NORTH,"(51.42345193748686, -2.4975722393895747)",Fire,Building,Non Residential,Private garage,,365***,169***,BANES,Person (mobile),NonResidential,Building > Non Residential > Private garage,yes,Deliberate ? others property,no,no,Yes - occupied,no,Persons,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Not known,Not known,"Foam, rubber, plastic -> Plastic ? raw material only",Not known,None,,,no,,no,no,,,,,24,161,1,1,48
022051-28032014,03/28/2014 07:49:56 PM +0000,KEYNSHAM EAST,"(51.41452086342165, -2.4830958377138144)",False Alarm,Outdoor,Outdoor structures,Small refuse/rubbish/recycle container (excluding wheelie bin),,366***,168***,BANES,Police,OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Reported incident/Location not found,no,,,,,,16,152,3,1,45
001247-20042014,04/20/2014 01:28:51 PM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Other Residential,Nurses'/Doctors' accommodation,,373***,166***,BANES,Person (land line),OtherResidential,Building > Other Residential > Nurses'/Doctors' accommodation,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,20,546,5,1,107
000619-11042014,04/11/2014 02:35:25 AM +0000,PEASEDOWN,"(51.31583826544677, -2.424664099497597)",Fire,Building,Dwelling,Self contained Sheltered Housing,,370***,157***,BANES,Person (mobile),Dwelling,Building > Dwelling > Self contained Sheltered Housing,yes,Accidental,no,yes,Yes - occupied,no,Automatic alarm system,Accidental;  Faulty fuel supplies - Electricity,Heating equipment -> Heater/Fire,Electric,Structural/Fixtures/Fitting s ? Internal -> Wiring insulation,Structural/Fixtures/Fitting s ? Internal -> Wiring insulation,None,,,no,,no,no,,,,,15,382,22,1,71
